Genome	SSU	Copy ratio	Organism	Species	Strain	
GCA_000005825	SSU_3:SSU_4:SSU_1:SSU_2	4:1:1:1	Bacillus pseudofirmus OF4	Bacillus pseudofirmus	OF4
GCA_000005845	SSU_4:SSU_5:SSU_6:SSU_3:SSU_1:SSU_2	2:1:1:1:1:1	Escherichia coli str. K-12 substr. MG1655	Escherichia coli	K-12 substr. MG1655
GCA_000006175	SSU_1	2	Methanococcus voltae A3	Methanococcus voltae	A3
GCA_000006605	SSU_1	3	Corynebacterium jeikeium K411	Corynebacterium jeikeium	K411 = NCTC 11915
GCA_000006625	SSU_1:SSU_2	1:1	Ureaplasma parvum serovar 3 str. ATCC 700970	Ureaplasma parvum	ATCC 700970
GCA_000006645	SSU_1:SSU_2	5:2	Yersinia pestis KIM10+	Yersinia pestis	KIM
GCA_000006685	SSU_1:SSU_2	1:1	Chlamydia muridarum str. Nigg	Chlamydia muridarum	Nigg
GCA_000006725	SSU_1	2	Xylella fastidiosa 9a5c	Xylella fastidiosa	9a5c
GCA_000006745	SSU_3:SSU_5:SSU_6:SSU_4:SSU_1:SSU_2	3:1:1:1:1:1	Vibrio cholerae O1 biovar El Tor str. N16961	Vibrio cholerae	N16961
GCA_000006765	SSU_1:SSU_3:SSU_2	2:1:1	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa	PAO1
GCA_000006785	SSU_2:SSU_3:SSU_1	3:2:1	Streptococcus pyogenes M1 GAS	Streptococcus pyogenes	SF370
GCA_000006805	SSU_1	1	Halobacterium salinarum NRC-1	Halobacterium salinarum	NRC-1; ATCC 700922
GCA_000006825	SSU_5:SSU_6:SSU_3:SSU_4:SSU_1:SSU_2	1:1:1:1:1:1	Pasteurella multocida subsp. multocida str. Pm70	Pasteurella multocida	Pm70
GCA_000006845	SSU_1	4	Neisseria gonorrhoeae FA 1090	Neisseria gonorrhoeae	FA 1090
GCA_000006865	SSU_2:SSU_1	5:1	Lactococcus lactis subsp. lactis Il1403	Lactococcus lactis	IL1403
GCA_000006905	SSU_1	2	Caulobacter vibrioides CB15	Caulobacter vibrioides	CB15
GCA_000006925	SSU_1:SSU_3:SSU_2	4:2:1	Shigella flexneri 2a str. 301	Shigella flexneri	301
GCA_000006945	SSU_3:SSU_5:SSU_6:SSU_4:SSU_1:SSU_2	2:1:1:1:1:1	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Salmonella enterica	LT2
GCA_000006965	SSU_1	3	Sinorhizobium meliloti 1021	Sinorhizobium meliloti	1021
GCA_000006985	SSU_1	2	Chlorobaculum tepidum TLS	Chlorobaculum tepidum	TLS
GCA_000007005	SSU_1	1	Saccharolobus solfataricus P2	Saccharolobus solfataricus	P2
GCA_000007025	SSU_1	1	Rickettsia conorii str. Malish 7	Rickettsia conorii	Malish 7
GCA_000007045	SSU_1	4	Streptococcus pneumoniae R6	Streptococcus pneumoniae	R6
GCA_000007065	SSU_2:SSU_1	2:1	Methanosarcina mazei Go1	Methanosarcina mazei	Go1
GCA_000007085	SSU_3:SSU_4:SSU_1:SSU_2	1:1:1:1	Caldanaerobacter subterraneus subsp. tengcongensis MB4	Caldanaerobacter subterraneus	MB4
GCA_000007105	SSU_2:SSU_1	2:1	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Zymomonas mobilis	ZM4
GCA_000007125	SSU_1	3	Brucella melitensis bv. 1 str. 16M	Brucella melitensis	16M
GCA_000007145	SSU_1	2	Xanthomonas campestris pv. campestris str. ATCC 33913	Xanthomonas campestris	ATCC 33913
GCA_000007165	SSU_1	2	Xanthomonas citri pv. citri str. 306	Xanthomonas citri	306
GCA_000007185	SSU_1	1	Methanopyrus kandleri AV19	Methanopyrus kandleri	AV19
GCA_000007205	SSU_1	1	Chlamydia pneumoniae TW-183	Chlamydia pneumoniae	TW-183
GCA_000007225	SSU_1	1	Pyrobaculum aerophilum str. IM2	Pyrobaculum aerophilum	IM2
GCA_000007245	SSU_1	2	Xylella fastidiosa Temecula1	Xylella fastidiosa	Temecula1
GCA_000007265	SSU_1	7	Streptococcus agalactiae 2603V/R	Streptococcus agalactiae	2603V/R
GCA_000007285	SSU_1	6	Streptococcus pyogenes MGAS8232	Streptococcus pyogenes	MGAS8232
GCA_000007305	SSU_1	1	Pyrococcus furiosus DSM 3638	Pyrococcus furiosus	DSM 3638
